Facilities,0.013379
Facilities,0.026339
Facilities,0.032551
Facilities,0.026672
Facilities,0.013796
Facilities,0.027763
Facilities,0.052933
Facilities,0.069015
Facilities,0.053698
Facilities,0.028477
Facilities,0.033895
Facilities,0.067732
Facilities,0.099186
Facilities,0.068942
Facilities,0.034759
Facilities,0.027372
Facilities,0.052097
Facilities,0.067662
Facilities,0.052843
Facilities,0.028076
Facilities,0.014205
Facilities,0.028881
Facilities,0.035791
Facilities,0.029253
Facilities,0.014682
